"school_no","school_name","year","unpaid"
"347","George Watts","2014-15",197.74
"348","Mangum","2014-15",165.03
"352","Merrick Moore","2014-15",87.35
"353","Middle College","2014-15",0
"354","Morehead","2014-15",969.95
"355","Neal","2014-15",3817.1
"356","Northern","2014-15",1624.27
"360","Oak Grove","2014-15",1310.23
"362","Parkwood","2014-15",1759.55
"363","E K Powe","2014-15",2339.76
"364","Pearsontown","2014-15",505.19
"365","Riverside","2014-15",4367.49
"366","Githens","2014-15",2677.82
"367","R N Harris","2014-15",0
"368","Southern","2014-15",9771.19
"369","Sandy Ridge","2014-15",603.26
"370","Rogers Herr","2014-15",1114.16
"372","Southwest","2014-15",6600.72
"374","C C Spaulding","2014-15",44.4
"376","Spring Valley","2014-15",328.35
"388","W G Pearson Elementary","2014-15",4839.47
"389"," W G Pearson Middle","2014-15",0
"400","Y E Smith","2014-15",0
"700","Southern STEM","2014-15",0
"701","Hillside New Tech","2014-15",109.6
"304","Bethesda","2015-16",35
"306","Brogden","2015-16",871.74
"308","Burton","2015-16",1148
"309","Early College","2015-16",379.8
"310","Eastway","2015-16",10.88
"312","Jordan","2015-16",2126.44
"313","Easley","2015-16",732.3
"314","School for Creative Studies","2015-16",1123.9
"315","Eno Valley","2015-16",217.75
"316","Carrington","2015-16",1263.44
"317","City of Medicine","2015-16",2506.99
"318","Club","2015-16",142.16
"319","Creekside","2015-16",521.1
"320","Glenn","2015-16",20
"322","Performance Learning Center","2015-16",578.69
"323","Durham School of the Arts","2015-16",831.29
"324","Hillandale","2015-16",874.15
"325","Hillside","2015-16",836.08
"327","Hope Valley","2015-16",2451.88
"328","Holt","2015-16",445.37
"332","Forestview","2015-16",264.76
"336","DPS Hospital School","2015-16",5.5
"338","Shepard","2015-16",534.12
"339","Lakewood Elementary","2015-16",17.85
"340","Little River","2015-16",241.95
"341","Lakeview","2015-16",360.7
"342","Lakewood Middle","2015-16",891.58
"343","Lucas","2015-16",5868.47
"344","Fayetteville Street","2015-16",33.5
"346","Lowe's Grove","2015-16",683.71
"347","George Watts","2015-16",233.49
"348","Mangum","2015-16",217.74
"352","Merrick Moore","2015-16",15.8
"353","Middle College","2015-16",0
"354","Morehead","2015-16",175.7
"355","Neal","2015-16",10325.43
"356","Northern","2015-16",1019.32
"360","Oak Grove","2015-16",1812.65
"362","Parkwood","2015-16",1027.68
"363","E K Powe","2015-16",7682.1
"364","Pearsontown","2015-16",511.26
"365","Riverside","2015-16",1270.75
"366","Githens","2015-16",1581.81
"367","R N Harris","2015-16",7.69
"368","Southern","2015-16",22267.64
"369","Sandy Ridge","2015-16",403.82
"370","Rogers Herr","2015-16",1638.13
"372","Southwest","2015-16",1203.19
"374","C C Spaulding","2015-16",0
"376","Spring Valley","2015-16",434.14
"388","W G Pearson Elementary","2015-16",397.11
"389"," W G Pearson Middle","2015-16",0
"400","Y E Smith","2015-16",0
"700","Southern STEM","2015-16",0
"701","Hillside New Tech","2015-16",189.01
"304","Bethesda","2016-17",0
"306","Brogden","2016-17",2093.6
"308","Burton","2016-17",0
"309","Early College","2016-17",206.8
"310","Eastway","2016-17",0
"312","Jordan","2016-17",16630.82
"313","Easley","2016-17",663.09
"314","School for Creative Studies","2016-17",2515.5
"315","Eno Valley","2016-17",187
"316","Carrington","2016-17",473.23
"317","City of Medicine","2016-17",4019.08
"318","Club","2016-17",269.51
"319","Creekside","2016-17",969.81
"320","Glenn","2016-17",0
"322","Performance Learning Center","2016-17",503.48
